Extension,ViewerModule,GraphicalEditorModule
midi,ViewMidi.mjs,MIDIeditor.mjs
mjs,ViewText.mjs,
mkv,ViewVideo.mjs,
mobi,ViewBinary.mjs,
mods.xml,ViewXML.mjs,
mol,ViewMOL.mjs,
mov,ViewVideo.mjs,
mp3,ViewMP3.mjs,
mp4,ViewMP4.mjs,
musicxml,ViewMusicXML.mjs,

nbt,ViewNBT.mjs,
nc,ViewBinary.mjs,
ncx,ViewXML.mjs,
netcdf,ViewBinary.mjs,
ndjson,ViewJSON.mjs,
nii.gz,ViewBinary.mjs,
nmea,ViewGPS.mjs,
nt,ViewRDF.mjs,

obj,ViewOBJ.mjs,
ocrd.zip,ViewArchive.mjs,
odp,ViewODP.mjs,
ods,ViewODS.mjs,
odt,ViewODT.mjs,
ogg,ViewAudio.mjs,
ogv,ViewVideo.mjs,
opf,ViewXML.mjs,
ops,ViewText.mjs,
opus,ViewAudio.mjs,
ora,ViewBinary.mjs,
org,ViewText.mjs,
otf,ViewFont.mjs,
owl,ViewRDF.mjs,

parquet,ViewBinary.mjs,
pcf,ViewFont.mjs,
pdb,ViewPDB.mjs,
pdf,ViewPDF.mjs,
pem,ViewText.mjs,
pfa,ViewFont.mjs,
pfb,ViewFont.mjs,
php,ViewPHP.mjs,
pgn,ViewPGN.mjs,
pl,ViewText.mjs,
ply,ViewPLY.mjs,
png,ViewPNG.mjs,PNGeditor.mjs
prolog,ViewText.mjs,
ps1,ViewText.mjs,
psd,ViewImage.mjs,
py,ViewText.mjs,

raw,ViewBinary.mjs,
rdf,ViewRDF.mjs,
ris,ViewText.mjs,
rds,ViewBinary.mjs,
rs,ViewText.mjs,
rng,ViewText.mjs,
rss,ViewXML.mjs,
rst,ViewText.mjs,

s,ViewText.mjs,
sam,ViewText.mjs,
sav,ViewBinary.mjs,
scad,ViewSCAD.mjs
sch,ViewText.mjs,
scad,ViewSCAD.mjs,SCADeditor.mjs
scss,ViewText.mjs,
scxml,ViewSCXML.mjs,
sdf, ViewSDF.mjs
sfm,ViewText.mjs,
sh,ViewText.mjs,
shp,ViewBinary.mjs,
sif,ViewText.mjs,
sdf,ViewMolecule.mjs,
sfd,ViewFont.mjs,
sf2,ViewBinary.mjs,
shp,ViewShapefile.mjs,
sqlite,ViewBinary.mjs,
sql,ViewText.mjs,
srec,ViewText.mjs,
srt,ViewText.mjs,
step,ViewSTEP.mjs,
stl,ViewSTL.mjs,STLeditor.mjs
svg,ViewSVG.mjs,SVGeditor.mjs
sv,ViewText.mjs,

tar,ViewArchive.mjs,
tei.xml,ViewXML.mjs,
tex,ViewText.mjs,
textgrid,ViewText.mjs,
tif,ViewImage.mjs,
tiff,ViewImage.mjs,
tgz,ViewArchive.mjs,
toml,ViewText.mjs,
trs,ViewText.mjs,
tscn,ViewGodotScene.mjs,
tsv,ViewCSV.mjs,
ttf,ViewFont.mjs,
ttl,ViewRDF.mjs,
txt,ViewText.mjs,

unv,ViewText.mjs,
usd,ViewUSD.mjs,
usda,ViewUSD.mjs,
usdc,ViewUSD.mjs,

v,ViewText.mjs,
vcd,ViewText.mjs,
vcf,ViewVCF.mjs,
vhd,ViewText.mjs,
vhdl,ViewText.mjs,
vtk,ViewVTK.mjs,
vtp,ViewVTK.mjs,
vtt,ViewText.mjs,

wav,ViewAudio.mjs,
webm,ViewVideo.mjs,
webp,ViewImage.mjs,
wlf,ViewBinary.mjs,
woff,ViewFont.mjs,
woff2,ViewFont.mjs,

xcf,ViewImage.mjs,
xsd,ViewText.mjs,
xigt.xml,ViewXML.mjs,
xls,ViewSpreadsheet.mjs,
xlsx,ViewSpreadsheet.mjs,
xmp,ViewXMP.mjs,
xsl,ViewText.mjs,
xslt,ViewText.mjs,
xml,ViewXML.mjs,
xyz,ViewText.mjs,
xz,ViewArchive.mjs,

yaml,ViewText.mjs,
yml,ViewText.mjs,

zip,ViewArchive.mjs
